DIAMOND,WILD,WILD,WILD,DIAMOND
M4,M3,M4,M3,M4
M3,M2,M3,M2,M3
M2,M1,M2,M1,M2
M1,A,M1,A,M1
A,K,A,K,A
K,Q,K,Q,K
Q,J,Q,J,Q
J,10,J,10,J
10,9,10,9,10
9,M4,9,M4,9
SCATTER,SCATTER,SCATTER,SCATTER,SCATTER
M4,M3,M4,M3,M4
M3,M2,M3,M2,M3
M2,M1,M2,M1,M2
M1,A,M1,A,M1
A,K,A,K,A
K,Q,K,Q,K
Q,J,Q,J,Q
J,10,J,10,J
10,9,10,9,10
9,DIAMOND,9,DIAMOND,9
M4,M3,M4,M3,M4
M3,M2,M3,M2,M3
M2,M1,M2,M1,M2
SCATTER,SCATTER,SCATTER,SCATTER,SCATTER
M1,A,M1,A,M1
A,K,A,K,A
K,Q,K,Q,K
Q,J,Q,J,Q
J,10,J,10,J
10,9,10,9,10
9,M4,9,M4,9
M4,M3,M4,M3,M4
M3,M2,M3,M2,M3
M2,M1,M2,M1,M2
M1,A,M1,A,M1
A,K,A,K,A
K,Q,K,Q,K
Q,J,Q,J,Q
J,10,J,10,J
10,9,10,9,10
9,DIAMOND,9,DIAMOND,9
M4,M3,M4,M3,M4
M3,M2,M3,M2,M3
M2,M1,M2,M1,M2
SCATTER,SCATTER,SCATTER,SCATTER,SCATTER
M1,A,M1,A,M1
A,K,A,K,A
K,Q,K,Q,K
Q,J,Q,J,Q
J,10,J,10,J
10,9,10,9,10
